zipcode,country,state,state_full,county,latitude-zip,longitude-zip,nearest-airport,latitude-air,longitude-air,distance
24002,US,VA,Virginia,Roanoke (city),37.2742,-79.9579,KRDU,35.877601623535156,-78.7874984741211,187.18420371554873
24003,US,VA,Virginia,Roanoke (city),37.2742,-79.9579,KRDU,35.877601623535156,-78.7874984741211,187.18420371554873
24004,US,VA,Virginia,Roanoke (city),37.2742,-79.9579,KRDU,35.877601623535156,-78.7874984741211,187.18420371554873
24005,US,VA,Virginia,Roanoke (city),37.2742,-79.9579,KRDU,35.877601623535156,-78.7874984741211,187.18420371554873
24006,US,VA,Virginia,Roanoke (city),37.2742,-79.9579,KRDU,35.877601623535156,-78.7874984741211,187.18420371554873
24007,US,VA,Virginia,Roanoke (city),37.2742,-79.9579,KRDU,35.877601623535156,-78.7874984741211,187.18420371554873
24008,US,VA,Virginia,Roanoke (city),37.2742,-79.9579,KRDU,35.877601623535156,-78.7874984741211,187.18420371554873
24009,US,VA,Virginia,Roanoke (city),37.2742,-79.9579,KRDU,35.877601623535156,-78.7874984741211,187.18420371554873
24010,US,VA,Virginia,Roanoke (city),37.2742,-79.9579,KRDU,35.877601623535156,-78.7874984741211,187.18420371554873
24011,US,VA,Virginia,Roanoke (city),37.269,-79.942,KRDU,35.877601623535156,-78.7874984741211,185.91578733004798
24012,US,VA,Virginia,Roanoke (city),37.3029,-79.9322,KRDU,35.877601623535156,-78.7874984741211,188.57621334341647
24013,US,VA,Virginia,Roanoke (city),37.2677,-79.9247,KRDU,35.877601623535156,-78.7874984741211,184.94332911852615
24014,US,VA,Virginia,Roanoke (city),37.2327,-79.9463,KRDU,35.877601623535156,-78.7874984741211,182.8015377456667
24015,US,VA,Virginia,Roanoke (city),37.2584,-79.9807,KRDU,35.877601623535156,-78.7874984741211,186.88861045272557
24016,US,VA,Virginia,Roanoke (city),37.2704,-79.9535,KRDU,35.877601623535156,-78.7874984741211,186.61577715533505
24017,US,VA,Virginia,Roanoke (city),37.2937,-79.9902,KRDU,35.877601623535156,-78.7874984741211,190.5891969163694
24018,US,VA,Virginia,Roanoke,37.2503,-80.0525,KRDU,35.877601623535156,-78.7874984741211,189.89579337971455
24019,US,VA,Virginia,Botetourt,37.3515,-79.9052,KRDU,35.877601623535156,-78.7874984741211,191.8591529325477
24020,US,VA,Virginia,Roanoke,37.3589,-79.9448,KRDU,35.877601623535156,-78.7874984741211,194.4140380617275
24022,US,VA,Virginia,Roanoke (city),37.2784,-79.9332,KRDU,35.877601623535156,-78.7874984741211,186.350517726763
24023,US,VA,Virginia,Montgomery,37.271,-79.9414,KRDU,35.877601623535156,-78.7874984741211,186.07047546387028
24024,US,VA,Virginia,Roanoke (city),37.2742,-79.9579,KRDU,35.877601623535156,-78.7874984741211,187.18420371554873
24025,US,VA,Virginia,Roanoke (city),37.2742,-79.9579,KRDU,35.877601623535156,-78.7874984741211,187.18420371554873
24026,US,VA,Virginia,Roanoke (city),37.2742,-79.9579,KRDU,35.877601623535156,-78.7874984741211,187.18420371554873
24027,US,VA,Virginia,Roanoke (city),37.2742,-79.9579,KRDU,35.877601623535156,-78.7874984741211,187.18420371554873
24028,US,VA,Virginia,Roanoke (city),37.2742,-79.9579,KRDU,35.877601623535156,-78.7874984741211,187.18420371554873
24029,US,VA,Virginia,Roanoke (city),37.2742,-79.9579,KRDU,35.877601623535156,-78.7874984741211,187.18420371554873
24030,US,VA,Virginia,Roanoke (city),37.2742,-79.9579,KRDU,35.877601623535156,-78.7874984741211,187.18420371554873
24031,US,VA,Virginia,Roanoke (city),37.2742,-79.9579,KRDU,35.877601623535156,-78.7874984741211,187.18420371554873
24032,US,VA,Virginia,Roanoke (city),37.2742,-79.9579,KRDU,35.877601623535156,-78.7874984741211,187.18420371554873
24033,US,VA,Virginia,Roanoke (city),37.2742,-79.9579,KRDU,35.877601623535156,-78.7874984741211,187.18420371554873
24034,US,VA,Virginia,Roanoke (city),37.2742,-79.9579,KRDU,35.877601623535156,-78.7874984741211,187.18420371554873
24035,US,VA,Virginia,Roanoke (city),37.2742,-79.9579,KRDU,35.877601623535156,-78.7874984741211,187.18420371554873
24036,US,VA,Virginia,Roanoke (city),37.2742,-79.9579,KRDU,35.877601623535156,-78.7874984741211,187.18420371554873
24037,US,VA,Virginia,Roanoke (city),37.2742,-79.9579,KRDU,35.877601623535156,-78.7874984741211,187.18420371554873
24038,US,VA,Virginia,Roanoke (city),37.2742,-79.9579,KRDU,35.877601623535156,-78.7874984741211,187.18420371554873
24040,US,VA,Virginia,Roanoke (city),37.2742,-79.9579,KRDU,35.877601623535156,-78.7874984741211,187.18420371554873
