zipcode,country,state,state_full,county,latitude-zip,longitude-zip,nearest-airport,latitude-air,longitude-air,distance
65555,US,MO,Missouri,Texas,37.3569,-91.8131,KSGF,37.245701,-93.388603,139.9007637916445
65556,US,MO,Missouri,Pulaski,37.8528,-92.3962,KSGF,37.245701,-93.388603,110.50404305638604
65557,US,MO,Missouri,Texas,37.5156,-92.139,KSGF,37.245701,-93.388603,114.41703618505416
65559,US,MO,Missouri,Phelps,38.0056,-91.6076,KSTL,38.748697,-90.370003,135.88708186129406
65560,US,MO,Missouri,Dent,37.617,-91.5258,KSTL,38.748697,-90.370003,161.3680161602182
65564,US,MO,Missouri,Texas,37.2428,-91.9624,KSGF,37.245701,-93.388603,126.2440519080557
65565,US,MO,Missouri,Crawford,37.8904,-91.3032,KSTL,38.748697,-90.370003,125.44292113262496
65566,US,MO,Missouri,Iron,37.7151,-91.1289,KSTL,38.748697,-90.370003,132.6745087834685
65567,US,MO,Missouri,Camden,37.8693,-92.5114,KSGF,37.245701,-93.388603,103.8607099208563
65570,US,MO,Missouri,Texas,37.4626,-92.0909,KSGF,37.245701,-93.388603,117.20964748729736
65571,US,MO,Missouri,Texas,37.1484,-91.6828,KSGF,37.245701,-93.388603,151.47382623134578
65580,US,MO,Missouri,Maries,38.098,-91.7788,KSTL,38.748697,-90.370003,142.46483401271666
65582,US,MO,Missouri,Maries,38.1919,-91.9422,KSTL,38.748697,-90.370003,150.2209735019095
65583,US,MO,Missouri,Pulaski,37.7676,-92.2105,KSGF,37.245701,-93.388603,119.02372152396896
65584,US,MO,Missouri,Pulaski,37.8283,-92.131,KSGF,37.245701,-93.388603,128.42164778364727
65586,US,MO,Missouri,Crawford,37.8585,-91.4267,KSTL,38.748697,-90.370003,135.27562691466392
65588,US,MO,Missouri,Shannon,37.0169,-91.3121,KSGF,37.245701,-93.388603,185.82911021986743
65589,US,MO,Missouri,Texas,37.2311,-91.8244,KSGF,37.245701,-93.388603,138.4790258219421
65590,US,MO,Missouri,Dallas,37.5808,-92.9309,KSGF,37.245701,-93.388603,54.97715759472421
65591,US,MO,Missouri,Camden,37.9851,-92.547,KSGF,37.245701,-93.388603,110.70012194618484
65601,US,MO,Missouri,Polk,37.5057,-93.5576,KSGF,37.245701,-93.388603,32.53950586229876
65603,US,MO,Missouri,Dade,37.5512,-93.8619,KSGF,37.245701,-93.388603,53.86998824983144
65604,US,MO,Missouri,Greene,37.316,-93.5781,KSGF,37.245701,-93.388603,18.49850591475101
65605,US,MO,Missouri,Lawrence,36.9709,-93.718,KSGF,37.245701,-93.388603,42.27202850383462
65606,US,MO,Missouri,Oregon,36.6929,-91.3971,KSGF,37.245701,-93.388603,187.2942713314279
65607,US,MO,Missouri,Cedar,37.7942,-93.8044,KSGF,37.245701,-93.388603,71.16539049270341
65608,US,MO,Missouri,Douglas,36.9407,-92.6765,KSGF,37.245701,-93.388603,71.68931581454096
65609,US,MO,Missouri,Ozark,36.5332,-92.1507,KSGF,37.245701,-93.388603,135.63257642927618
65610,US,MO,Missouri,Christian,37.0628,-93.5476,KSGF,37.245701,-93.388603,24.74214509065628
65611,US,MO,Missouri,Stone,36.5493,-93.3388,KSGF,37.245701,-93.388603,77.56279102140077
65612,US,MO,Missouri,Greene,37.2214,-93.5447,KSGF,37.245701,-93.388603,14.08107741002236
65613,US,MO,Missouri,Polk,37.6085,-93.4126,KSGF,37.245701,-93.388603,40.39702162935614
65614,US,MO,Missouri,Taney,36.7659,-92.9151,KSGF,37.245701,-93.388603,67.92788953298827
65615,US,MO,Missouri,Taney,36.661,-93.2358,KSGF,37.245701,-93.388603,66.41842000816496
65616,US,MO,Missouri,Taney,36.669,-93.2481,KSGF,37.245701,-93.388603,65.33012940872544
65617,US,MO,Missouri,Polk,37.4728,-93.3603,KSGF,37.245701,-93.388603,25.3758536718441
65618,US,MO,Missouri,Ozark,36.759,-92.4026,KSGF,37.245701,-93.388603,102.93266018226907
65619,US,MO,Missouri,Greene,37.1634,-93.4202,KSGF,37.245701,-93.388603,9.569745687630558
65620,US,MO,Missouri,Christian,36.999,-92.9692,KSGF,37.245701,-93.388603,46.20828680100053
65622,US,MO,Missouri,Dallas,37.6429,-93.0906,KSGF,37.245701,-93.388603,51.40826078678612
65623,US,MO,Missouri,Barry,36.749,-93.9064,KXNA,36.281898,-94.306801,63.07197432500464
65624,US,MO,Missouri,Stone,36.7311,-93.5674,KSGF,37.245701,-93.388603,59.38371853853836
65625,US,MO,Missouri,Barry,36.6784,-93.8467,KXNA,36.281898,-94.306801,60.299568528788434
65626,US,MO,Missouri,Howell,36.6035,-92.0678,KSGF,37.245701,-93.388603,137.41761392770567
65627,US,MO,Missouri,Taney,36.571,-93.0172,KSGF,37.245701,-93.388603,81.96894607724514
65629,US,MO,Missouri,Christian,36.922,-93.0451,KSGF,37.245701,-93.388603,47.15957984387738
65630,US,MO,Missouri,Christian,36.8359,-93.2291,KSGF,37.245701,-93.388603,47.71624583513595
65631,US,MO,Missouri,Christian,37.0447,-93.4383,KSGF,37.245701,-93.388603,22.780216723259805
65632,US,MO,Missouri,Laclede,37.5085,-92.7891,KSGF,37.245701,-93.388603,60.4984080973879
65633,US,MO,Missouri,Stone,36.9258,-93.5303,KSGF,37.245701,-93.388603,37.72668830486123
65634,US,MO,Missouri,Hickory,38.0239,-93.1978,KSGF,37.245701,-93.388603,88.14777917337686
65635,US,MO,Missouri,Dade,37.5105,-93.6956,KSGF,37.245701,-93.388603,40.03508396394638
65636,US,MO,Missouri,Webster,37.1726,-92.8543,KSGF,37.245701,-93.388603,48.01055405501362
65637,US,MO,Missouri,Ozark,36.756,-92.2378,KSGF,37.245701,-93.388603,115.79538686657054
65638,US,MO,Missouri,Douglas,36.9319,-92.3664,KSGF,37.245701,-93.388603,97.15146117180896
65640,US,MO,Missouri,Polk,37.7031,-93.5216,KSGF,37.245701,-93.388603,52.19703944613028
65641,US,MO,Missouri,Barry,36.548,-93.7336,KXNA,36.281898,-94.306801,59.21432788070399
65644,US,MO,Missouri,Webster,37.4336,-93.021,KSGF,37.245701,-93.388603,38.63509032921595
65645,US,MO,Missouri,Polk,37.4767,-93.5397,KSGF,37.245701,-93.388603,28.94988878195392
65646,US,MO,Missouri,Dade,37.3425,-93.7024,KSGF,37.245701,-93.388603,29.77211002563147
