Rank,RO,ST,Locid,City,airport_name,S/L,Hub,CY 21 Enplanements,CY 20 Enplanements,% Change
125,AL,AK,FAI,Fairbanks,Fairbanks International,P,S,"450,694","233,484",93.03%
126,WP,CA,SBA,Santa Barbara,Santa Barbara Municipal,P,S,"440,229","193,738",127.23%
127,NM,OR,MFR,Medford,Rogue Valley International - Medford,P,S,"437,079","244,996",78.40%
128,EA,NJ,ACY,Atlantic City,Atlantic City International,P,S,"426,686","221,490",92.64%
129,NM,OR,RDM,Redmond,Roberts Field,P,S,"422,214","224,600",87.98%
130,SO,SC,CAE,Columbia,Columbia Metro,P,S,"418,391","271,923",53.86%
131,NM,MT,GPI,Kalispell,Glacier Park International,P,S,"418,094","215,443",94.06%
132,GL,ND,FAR,Fargo,Hector International,P,S,"408,477","244,019",67.40%
133,SW,TX,LBB,Lubbock,Lubbock Preston Smith International,P,S,"405,157","253,126",60.06%
134,NM,MT,MSO,Missoula,Missoula Montana,P,S,"384,925","209,035",84.14%
135,NE,VT,BTV,Burlington,Burlington International,P,S,"382,744","200,182",91.20%
136,NM,MT,BIL,Billings,Billings Logan International,P,S,"379,300","240,713",57.57%
137,SO,TN,CHA,Chattanooga,Lovell Field,P,S,"377,726","223,725",68.83%
138,WP,HI,ITO,Hilo,Hilo International,P,S,"358,471","232,503",54.18%
139,EA,PA,ABE,Allentown,Lehigh Valley International,P,S,"355,841","187,530",89.75%
140,SW,TX,HRL,Harlingen,Valley International,P,S,"355,190","172,878",105.46%
141,GL,WI,ATW,Appleton,Appleton International,P,S,"352,006","184,128",91.17%
142,NM,WA,PSC,Pasco,Tri-Cities,P,S,"347,438","190,322",82.55%
143,GL,IN,SBN,South Bend,South Bend International,P,S,"341,343","209,214",63.15%
144,GL,SD,RAP,Rapid City,Rapid City Regional,P,S,"337,788","179,119",88.58%
145,GL,IN,FWA,Fort Wayne,Fort Wayne International,P,S,"335,804","213,125",57.56%
